Request id,Pickup point,Driver id,Status,Request,timestamp,Drop,timestamp,Pick_up_Hour,Drop_Hour,Req_Hour_Bucket,Drop_Hour_Bracket ,Cancelled Flag,No cars availabe ,Time_slot
619,Airport,1,Trip Completed,11-Jul-16,11:51:00 AM,11-Jul-16,1:00:00 AM,11,1,11:00-12:00,01:00-02:00,0,0,Morning
867,Airport,1,Trip Completed,11-Jul-16,5:57:00 AM,11-Jul-16,6:47:00 AM,5,6,05:00-06:00,06:00-07:00,0,0,Early_Morning
1807,City,1,Trip Completed,12-Jul-16,9:17:00 AM,12-Jul-16,9:58:00 AM,9,9,09:00-10:00,09:00-10:00,0,0,Morning
2532,Airport,1,Trip Completed,12-Jul-16,9:08:00 AM,12-Jul-16,10:03:00 AM,9,10,09:00-10:00,10:00-11:00,0,0,Morning
3112,City,1,Trip Completed,13-Jul-16,8:33:16 AM,13-Jul-16,9:25:47 AM,8,9,08:00-09:00,09:00-10:00,0,0,Morning
3879,Airport,1,Trip Completed,13-Jul-16,9:57:28 PM,13-Jul-16,10:28:59 PM,21,22,21:00-22:00,22:00-23:00,0,0,Night
4270,Airport,1,Trip Completed,14-Jul-16,6:15:32 AM,14-Jul-16,7:13:15 AM,6,7,06:00-07:00,07:00-08:00,0,0,Morning
5510,Airport,1,Trip Completed,15-Jul-16,5:11:52 AM,15-Jul-16,6:07:52 AM,5,6,05:00-06:00,06:00-07:00,0,0,Early_Morning
6248,City,1,Trip Completed,15-Jul-16,5:57:27 PM,15-Jul-16,6:50:51 PM,17,18,17:00-18:00,18:00-19:00,0,0,Afternoon
267,City,2,Trip Completed,11-Jul-16,6:46:00 AM,11-Jul-16,7:25:00 AM,6,7,06:00-07:00,07:00-08:00,0,0,Morning
1467,Airport,2,Trip Completed,12-Jul-16,5:08:00 AM,12-Jul-16,6:02:00 AM,5,6,05:00-06:00,06:00-07:00,0,0,Early_Morning
1983,City,2,Trip Completed,12-Jul-16,12:30:00 PM,12-Jul-16,12:57:00 PM,12,12,12:00-13:00,12:00-13:00,0,0,Afternoon
2784,Airport,2,Trip Completed,13-Jul-16,4:49:20 AM,13-Jul-16,5:23:03 AM,4,5,04:00-05:00,05:00-06:00,0,0,Early_Morning
